epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
59,4195.26,0.55984,0.53124,1.14449,0.7276,0.62709,0.68664,0.35469,1.75975,1.17434,2.28808,0.000709809,0.000709809,0.000709809
60,4265.86,0.54887,0.5223,1.13784,0.73277,0.59869,0.67099,0.34253,1.78939,1.21015,2.31389,0.000693305,0.000693305,0.000693305
61,4336.51,0.56173,0.53926,1.14292,0.73711,0.58828,0.66914,0.33717,1.81998,1.22168,2.40526,0.000676802,0.000676802,0.000676802
62,4407.21,0.56005,0.52426,1.13927,0.72304,0.56964,0.63464,0.30608,1.91354,1.30165,2.47128,0.000660299,0.000660299,0.000660299
63,4477.92,0.54757,0.51833,1.13635,0.75963,0.57556,0.65863,0.32439,1.8706,1.25249,2.42729,0.000643795,0.000643795,0.000643795
64,4548.62,0.55452,0.5248,1.1369,0.76988,0.58211,0.66113,0.3353,1.80951,1.29085,2.39029,0.000627292,0.000627292,0.000627292
65,4619.22,0.54233,0.50691,1.12494,0.74971,0.58905,0.66343,0.34472,1.81925,1.24807,2.39049,0.000610789,0.000610789,0.000610789
66,4690.4,0.53603,0.50177,1.1216,0.77634,0.5879,0.68482,0.34905,1.77018,1.22771,2.32187,0.000594286,0.000594286,0.000594286
67,4761.08,0.54235,0.50101,1.12944,0.75925,0.59214,0.67064,0.34623,1.77544,1.22823,2.34433,0.000577782,0.000577782,0.000577782
68,4831.74,0.54392,0.51112,1.12653,0.77246,0.59483,0.68379,0.3498,1.77815,1.21904,2.36348,0.000561279,0.000561279,0.000561279
69,4902.25,0.52401,0.48904,1.11641,0.77492,0.57337,0.66586,0.33973,1.79625,1.2488,2.36145,0.000544776,0.000544776,0.000544776
70,4972.83,0.53223,0.4908,1.12338,0.72977,0.60177,0.65461,0.32765,1.84556,1.30664,2.45505,0.000528272,0.000528272,0.000528272
71,5043.48,0.53259,0.48586,1.12501,0.76224,0.60311,0.67866,0.34639,1.80737,1.239,2.39476,0.000511769,0.000511769,0.000511769
72,5114.16,0.52366,0.47194,1.11474,0.7526,0.6064,0.6746,0.35214,1.82737,1.22617,2.39236,0.000495266,0.000495266,0.000495266
73,5184.74,0.53329,0.48418,1.11855,0.77147,0.61424,0.69441,0.35892,1.79748,1.17026,2.37826,0.000478762,0.000478762,0.000478762
74,5255.36,0.52991,0.47912,1.11589,0.73984,0.59329,0.66257,0.33439,1.82114,1.27376,2.42629,0.000462259,0.000462259,0.000462259
75,5325.93,0.52108,0.48489,1.11023,0.73252,0.60563,0.67569,0.34426,1.77999,1.24168,2.35987,0.000445756,0.000445756,0.000445756
76,5396.68,0.5167,0.46668,1.1102,0.75874,0.5983,0.67555,0.34098,1.79013,1.25325,2.37903,0.000429253,0.000429253,0.000429253
77,5467.25,0.5203,0.47028,1.11036,0.74594,0.58969,0.66295,0.33246,1.84598,1.26087,2.42507,0.000412749,0.000412749,0.000412749
78,5537.95,0.51097,0.46607,1.10567,0.74088,0.60833,0.6725,0.33822,1.80783,1.24241,2.39528,0.000396246,0.000396246,0.000396246
79,5608.45,0.52068,0.46536,1.10859,0.74197,0.60747,0.67714,0.337,1.83065,1.22388,2.41982,0.000379743,0.000379743,0.000379743
80,5679.11,0.51658,0.46041,1.10886,0.76057,0.59946,0.68312,0.34747,1.80173,1.25943,2.35825,0.000363239,0.000363239,0.000363239
81,5749.62,0.5149,0.45518,1.10927,0.71549,0.62529,0.68308,0.3494,1.79505,1.24877,2.33418,0.000346736,0.000346736,0.000346736
82,5820.27,0.50048,0.43912,1.09841,0.73508,0.59676,0.67216,0.34643,1.81776,1.23847,2.41849,0.000330233,0.000330233,0.000330233
83,5890.85,0.50459,0.44729,1.0993,0.74013,0.59985,0.67636,0.34626,1.81691,1.28242,2.3946,0.000313729,0.000313729,0.000313729
84,5961.98,0.51481,0.45083,1.10405,0.74657,0.62687,0.68882,0.35432,1.80388,1.24323,2.39211,0.000297226,0.000297226,0.000297226
85,6032.52,0.50788,0.44152,1.10091,0.74646,0.62221,0.69095,0.35276,1.78815,1.25612,2.36786,0.000280723,0.000280723,0.000280723
86,6103.13,0.49808,0.42979,1.09719,0.7343,0.63069,0.69632,0.35824,1.78347,1.25245,2.35347,0.00026422,0.00026422,0.00026422
87,6173.86,0.50581,0.44229,1.1011,0.7556,0.62812,0.69933,0.36206,1.78193,1.21937,2.35045,0.000247716,0.000247716,0.000247716
88,6244.55,0.50271,0.43442,1.0938,0.74767,0.62221,0.69366,0.35709,1.80925,1.19838,2.39385,0.000231213,0.000231213,0.000231213
89,6315.27,0.4974,0.43818,1.09421,0.76447,0.59098,0.68132,0.34726,1.83456,1.25706,2.43035,0.00021471,0.00021471,0.00021471
90,6386.07,0.49294,0.42785,1.09279,0.77015,0.6037,0.68693,0.35183,1.81584,1.22904,2.42212,0.000198206,0.000198206,0.000198206
91,6475.8,0.43709,0.33058,1.07135,0.73561,0.61137,0.66339,0.34428,1.85079,1.20888,2.52909,0.000181703,0.000181703,0.000181703
92,6545.73,0.42115,0.3088,1.05443,0.72636,0.60409,0.64604,0.33132,1.88918,1.24891,2.58731,0.0001652,0.0001652,0.0001652
93,6615.63,0.41952,0.29781,1.0514,0.75103,0.58377,0.64434,0.32744,1.90861,1.28996,2.60891,0.000148696,0.000148696,0.000148696
94,6685.61,0.41615,0.30421,1.05318,0.75199,0.60139,0.65849,0.33305,1.86891,1.26919,2.55246,0.000132193,0.000132193,0.000132193
95,6755.39,0.41576,0.29082,1.04899,0.74305,0.60312,0.6553,0.32946,1.87716,1.26759,2.56061,0.00011569,0.00011569,0.00011569
96,6825.03,0.40451,0.28882,1.04145,0.75169,0.60871,0.66849,0.33735,1.86373,1.23872,2.53787,9.91865e-05,9.91865e-05,9.91865e-05
97,6894.75,0.39703,0.27279,1.03829,0.77594,0.59792,0.67524,0.34621,1.84652,1.23731,2.51062,8.26832e-05,8.26832e-05,8.26832e-05
98,6964.45,0.40364,0.27626,1.03652,0.77643,0.5983,0.67538,0.34829,1.85181,1.23633,2.52114,6.61799e-05,6.61799e-05,6.61799e-05
99,7034.03,0.40131,0.2719,1.03508,0.76187,0.60139,0.67295,0.3454,1.86093,1.2414,2.54171,4.96766e-05,4.96766e-05,4.96766e-05
100,7103.79,0.39174,0.27083,1.02947,0.77518,0.59947,0.67349,0.34286,1.87071,1.26043,2.54698,3.31733e-05,3.31733e-05,3.31733e-05
